accession	description
"GCA_000435455.1"	"MGS242 assembly for Clostridium sp. CAG:242"
"GCA_000435475.1"	"MGS338 assembly for Cryptobacterium sp. CAG:338"
"GCA_000435495.1"	"MGS552 assembly for Firmicutes bacterium CAG:552"
"GCA_000435515.1"	"MGS582 assembly for Firmicutes bacterium CAG:582"
"GCA_000435875.1"	"MGS12 assembly for Anaerobutyricum hallii CAG:12"
"GCA_000435895.1"	"MGS118 assembly for Tannerella sp. CAG:118"
"GCA_000435915.1"	"MGS234 assembly for Bifidobacterium bifidum CAG:234"
"GCA_000435935.1"	"MGS57 assembly for Ruminococcus sp. CAG:57"
"GCA_000435955.1"	"MGS64 assembly for Erysipelotrichaceae bacterium CAG:64"
"GCA_000435975.1"	"MGS241 assembly for Oscillibacter sp. CAG:241"
"GCA_000435995.1"	"MGS137 assembly for Firmicutes bacterium CAG:137"
"GCA_000436015.1"	"MGS592 assembly for Prevotella sp. CAG:592"
"GCA_000436035.1"	"MGS732 assembly for Prevotella sp. CAG:732"
"GCA_000436055.1"	"MGS714 assembly for Bacteroides sp. CAG:714"
"GCA_000436075.1"	"MGS209 assembly for Eggerthella sp. CAG:209"
"GCA_000436095.1"	"MGS266 assembly for Phascolarctobacterium sp. CAG:266"
"GCA_000436115.1"	"MGS534 assembly for Firmicutes bacterium CAG:534"
"GCA_000436135.1"	"MGS222 assembly for Phocaeicola dorei CAG:222"
"GCA_000436175.1"	"MGS62 assembly for Clostridium sp. CAG:62"
"GCA_000436195.1"	"MGS260 assembly for Azospirillum sp. CAG:260"
"GCA_000436275.1"	"MGS240 assembly for Firmicutes bacterium CAG:240"
"GCA_000436315.1"	"MGS2 assembly for Parabacteroides sp. CAG:2"
"GCA_000436335.1"	"MGS217 assembly for Clostridium sp. CAG:217"
"GCA_000436355.1"	"MGS67 assembly for Alistipes putredinis CAG:67"
"GCA_000434435.1"	"MGS475 assembly for Firmicutes bacterium CAG:475"
"GCA_000434455.1"	"MGS5226 assembly for Prevotella sp. CAG:5226"
"GCA_000434515.1"	"MGS604 assembly for Prevotella sp. CAG:604"
"GCA_000434575.1"	"MGS56 assembly for Firmicutes bacterium CAG:56"
"GCA_000434595.1"	"MGS82 assembly for Faecalibacterium sp. CAG:82"
"GCA_000434635.1"	"MGS110 assembly for Firmicutes bacterium CAG:110"
"GCA_000434655.1"	"MGS43 assembly for Clostridium sp. CAG:43"
"GCA_000434675.1"	"MGS1138 assembly for Faecalibacterium sp. CAG:1138"
"GCA_000434715.1"	"MGS308 assembly for Firmicutes bacterium CAG:308"
"GCA_000434735.1"	"MGS530 assembly for Bacteroides sp. CAG:530"
"GCA_000434755.1"	"MGS236 assembly for Streptococcus thermophilus CAG:236"
"GCA_000434775.1"	"MGS368 assembly for Eggerthella sp. CAG:368"
"GCA_000434795.1"	"MGS80 assembly for [Eubacterium] siraeum CAG:80"
"GCA_000434995.1"	"MGS341 assembly for Firmicutes bacterium CAG:341"
"GCA_000435015.1"	"MGS120 assembly for Bacteroides stercoris CAG:120"
"GCA_000435035.1"	"MGS1061 assembly for Porphyromonas sp. CAG:1061"
"GCA_000435175.1"	"MGS245 assembly for Clostridium sp. CAG:245"
"GCA_000435295.1"	"MGS114 assembly for Firmicutes bacterium CAG:114"
"GCA_000435315.1"	"MGS162 assembly for Phocaeicola coprocola CAG:162"
"GCA_000436155.1"	"MGS505 assembly for Clostridium sp. CAG:505"
"GCA_000436215.1"	"MGS177 assembly for Ruminococcus sp. CAG:177"
"GCA_000436235.1"	"MGS873 assembly for Prevotella sp. CAG:873"
"GCA_000436255.1"	"MGS1193 assembly for Clostridium sp. CAG:1193"
"GCA_000431035.1"	"MGS226 assembly for Clostridium sp. CAG:226"
"GCA_000431055.1"	"MGS598 assembly for Bacteroides sp. CAG:598"
"GCA_000431075.1"	"MGS555 assembly for Firmicutes bacterium CAG:555"
"GCA_000431095.1"	"MGS147 assembly for Blautia hydrogenotrophica CAG:147"
"GCA_000431115.1"	"MGS715 assembly for Clostridium sp. CAG:715"
"GCA_000431135.1"	"MGS590 assembly for Clostridium sp. CAG:590"
"GCA_000431155.1"	"MGS927 assembly for Bacteroides sp. CAG:927"
"GCA_000431175.1"	"MGS59 assembly for Enterocloster bolteae CAG:59"
"GCA_000431195.1"	"MGS255 assembly for Prevotella sp. CAG:255"
"GCA_000431215.1"	"MGS1031 assembly for Prevotella sp. CAG:1031"
"GCA_000431235.1"	"MGS698 assembly for Coprobacillus sp. CAG:698"
"GCA_000431255.1"	"MGS246 assembly for Parabacteroides johnsonii CAG:246"
"GCA_000431275.1"	"MGS755 assembly for Prevotella sp. CAG:755"
"GCA_000431375.1"	"MGS7 assembly for Clostridium sp. CAG:7"
"GCA_000431395.1"	"MGS377 assembly for Megamonas funiformis CAG:377"
"GCA_000431515.1"	"MGS632 assembly for Clostridium sp. CAG:632"
"GCA_000431535.1"	"MGS678 assembly for Clostridium sp. CAG:678"
"GCA_000431555.1"	"MGS306 assembly for Clostridium sp. CAG:306"
"GCA_000431655.1"	"MGS348 assembly for [Clostridium] nexile CAG:348"
"GCA_000431675.1"	"MGS1427 assembly for Eggerthella sp. CAG:1427"
"GCA_000431695.1"	"MGS146 assembly for Eubacterium sp. CAG:146"
"GCA_000431715.1"	"MGS564 assembly for Bacteroides intestinalis CAG:564"
"GCA_000431735.1"	"MGS86 assembly for Eubacterium sp. CAG:86"
"GCA_000431755.1"	"MGS69 assembly for Bifidobacterium longum CAG:69"
"GCA_000431775.1"	"MGS413 assembly for Clostridium sp. CAG:413"
"GCA_000431795.1"	"MGS302 assembly for Clostridium sp. CAG:302"
"GCA_000431815.1"	"MGS318 assembly for Butyrivibrio sp. CAG:318"
"GCA_000431835.1"	"MGS777 assembly for Succinatimonas sp. CAG:777"
"GCA_000431855.1"	"MGS352 assembly for Clostridium sp. CAG:352"
"GCA_000442765.1"	"MGS719 assembly for Lactobacillus amylovorus CAG:719"
"GCA_000437295.1"	"MGS3 assembly for Bacteroides uniformis CAG:3"
"GCA_000437315.1"	"MGS472 assembly for Mycoplasma sp. CAG:472"
"GCA_000437335.1"	"MGS988 assembly for Bacillus sp. CAG:988"
"GCA_000437715.1"	"MGS290 assembly for Catenibacterium sp. CAG:290"
"GCA_000437735.1"	"MGS38 assembly for Eubacterium sp. CAG:38"
"GCA_000437755.1"	"MGS303 assembly for Roseburia sp. CAG:303"
"GCA_000437775.1"	"MGS815 assembly for Fusobacterium sp. CAG:815"
"GCA_000437795.1"	"MGS279 assembly for Prevotella sp. CAG:279"
"GCA_000437815.1"	"MGS542 assembly for Acidaminococcus sp. CAG:542"
"GCA_000437835.1"	"MGS1088 assembly for Methanoculleus sp. CAG:1088"
"GCA_000437855.1"	"MGS567 assembly for Clostridium sp. CAG:567"
"GCA_000437875.1"	"MGS269 assembly for Clostridium sp. CAG:269"
"GCA_000437895.1"	"MGS914 assembly for Clostridium sp. CAG:914"
"GCA_000437915.1"	"MGS314 assembly for Subdoligranulum sp. CAG:314"
"GCA_000438035.1"	"MGS6 assembly for Phocaeicola vulgatus CAG:6"
"GCA_000438055.1"	"MGS813 assembly for Clostridium sp. CAG:813"
"GCA_000438075.1"	"MGS609 assembly for Clostridium sp. CAG:609"
"GCA_000438095.1"	"MGS277 assembly for Clostridium sp. CAG:277"
"GCA_000438115.1"	"MGS617 assembly for Prevotella sp. CAG:617"
"GCA_000438155.1"	"MGS95 assembly for Firmicutes bacterium CAG:95"
"GCA_000438175.1"	"MGS439 assembly for Fusobacterium sp. CAG:439"
"GCA_000438195.1"	"MGS776 assembly for Mycoplasma sp. CAG:776"
"GCA_000438215.1"	"MGS511 assembly for [Clostridium] clostridioforme CAG:511"
"GCA_000438235.1"	"MGS351 assembly for Sutterella sp. CAG:351"
"GCA_000438355.1"	"MGS273 assembly for Clostridium sp. CAG:273"
"GCA_000438375.1"	"MGS182 assembly for Roseburia sp. CAG:182"
"GCA_000434695.1"	"MGS579 assembly for Ruminococcus sp. CAG:579"
"GCA_000434815.1"	"MGS139 assembly for Proteobacteria bacterium CAG:139"
"GCA_000434835.1"	"MGS594 assembly for Clostridium sp. CAG:594"
"GCA_000434855.1"	"MGS397 assembly for Sutterella sp. CAG:397"
"GCA_000434875.1"	"MGS754 assembly for Bacteroides sp. CAG:754"
"GCA_000434895.1"	"MGS287 assembly for Phascolarctobacterium succinatutens CAG:287"
"GCA_000434915.1"	"MGS563 assembly for Ruminococcus sp. CAG:563"
"GCA_000434935.1"	"MGS709 assembly for Bacteroides sp. CAG:709"
"GCA_000434955.1"	"MGS65 assembly for Firmicutes bacterium CAG:65"
"GCA_000434975.1"	"MGS520 assembly for Prevotella sp. CAG:520"
"GCA_000435055.1"	"MGS138 assembly for Clostridium sp. CAG:138"
"GCA_000435075.1"	"MGS770 assembly for Bacteroides sp. CAG:770"
"GCA_000435095.1"	"MGS462 assembly for Bacteroides sp. CAG:462"
"GCA_000435115.1"	"MGS633 assembly for Bacteroides sp. CAG:633"
"GCA_000435135.1"	"MGS13 assembly for Roseburia intestinalis CAG:13"
"GCA_000435155.1"	"MGS357 assembly for Dialister sp. CAG:357"
"GCA_000435195.1"	"MGS169 assembly for Clostridium sp. CAG:169"
"GCA_000435215.1"	"MGS52 assembly for Blautia sp. CAG:52"
"GCA_000435235.1"	"MGS119 assembly for Bifidobacterium adolescentis CAG:119"
"GCA_000435255.1"	"MGS164 assembly for Segatella copri CAG:164"
"GCA_000435275.1"	"MGS557 assembly for Clostridium sp. CAG:557"
"GCA_000435335.1"	"MGS964 assembly for Clostridium sp. CAG:964"
"GCA_000435355.1"	"MGS91 assembly for Clostridium sp. CAG:91"
"GCA_000435375.1"	"MGS798 assembly for Clostridium sp. CAG:798"
"GCA_000435395.1"	"MGS94 assembly for Firmicutes bacterium CAG:94"
"GCA_000435535.1"	"MGS575 assembly for Clostridium sp. CAG:575"
"GCA_000435555.1"	"MGS176 assembly for Firmicutes bacterium CAG:176"
"GCA_000435575.1"	"MGS230 assembly for Clostridium sp. CAG:230"
"GCA_000435595.1"	"MGS882 assembly for Firmicutes bacterium CAG:882"
"GCA_000435615.1"	"MGS238 assembly for Firmicutes bacterium CAG:238"
"GCA_000435635.1"	"MGS1320 assembly for Prevotella sp. CAG:1320"
"GCA_000435655.1"	"MGS299 assembly for Clostridium sp. CAG:299"
"GCA_000435675.1"	"MGS298 assembly for Eggerthella sp. CAG:298"
"GCA_000435695.1"	"MGS215 assembly for Lachnospiraceae bacterium CAG:215"
"GCA_000435715.1"	"MGS145 assembly for Firmicutes bacterium CAG:145"
"GCA_000435735.1"	"MGS14 assembly for Odoribacter splanchnicus CAG:14"
"GCA_000435755.1"	"MGS508 assembly for Clostridium sp. CAG:508"
"GCA_000435775.1"	"MGS270 assembly for Firmicutes bacterium CAG:270"
"GCA_000435795.1"	"MGS58 assembly for Clostridium sp. CAG:58"
"GCA_000435815.1"	"MGS192 assembly for Eubacterium sp. CAG:192"
"GCA_000435835.1"	"MGS221 assembly for Clostridium sp. CAG:221"
"GCA_000435855.1"	"MGS9 assembly for Ruminococcus sp. CAG:9"
"GCA_000432715.1"	"MGS68 assembly for Alistipes finegoldii CAG:68"
"GCA_000432735.1"	"MGS443 assembly for Bacteroides sp. CAG:443"
"GCA_000432795.1"	"MGS235 assembly for Coprobacillus sp. CAG:235"
"GCA_000432855.1"	"MGS822 assembly for Firmicutes bacterium CAG:822"
"GCA_000432955.1"	"MGS4 assembly for Escherichia coli CAG:4"
"GCA_000433015.1"	"MGS631 assembly for Firmicutes bacterium CAG:631"
"GCA_000433155.1"	"MGS122 assembly for Clostridium sp. CAG:122"
"GCA_000433215.1"	"MGS105 assembly for Dorea sp. CAG:105"
"GCA_000433315.1"	"MGS345 assembly for Firmicutes bacterium CAG:345"
"GCA_000433375.1"	"MGS32 assembly for Bacteroides faecis CAG:32"
"GCA_000433415.1"	"MGS448 assembly for Clostridium sp. CAG:448"
"GCA_000433435.1"	"MGS53 assembly for Alistipes sp. CAG:53"
"GCA_000433455.1"	"MGS877 assembly for Mycoplasma sp. CAG:877"
"GCA_000433535.1"	"MGS317 assembly for Dorea sp. CAG:317"
"GCA_000433575.1"	"MGS21 assembly for Bacteroides caccae CAG:21"
"GCA_000433595.1"	"MGS356 assembly for Clostridium sp. CAG:356"
"GCA_000433675.1"	"MGS433 assembly for Clostridium sp. CAG:433"
"GCA_000433815.1"	"MGS257 assembly for Blautia sp. CAG:257"
"GCA_000433835.1"	"MGS1329 assembly for Intestinibacter bartlettii CAG:1329"
"GCA_000433855.1"	"MGS398 assembly for Collinsella sp. CAG:398"
"GCA_000433875.1"	"MGS884 assembly for Firmicutes bacterium CAG:884"
"GCA_000433895.1"	"MGS474 assembly for Prevotella sp. CAG:474"
"GCA_000433915.1"	"MGS793 assembly for Clostridium sp. CAG:793"
"GCA_000433935.1"	"MGS788 assembly for Odoribacter sp. CAG:788"
"GCA_000433955.1"	"MGS48 assembly for Parabacteroides merdae CAG:48"
"GCA_000433975.1"	"MGS528 assembly for Anaerotruncus sp. CAG:528"
"GCA_000434035.1"	"MGS452 assembly for Clostridium sp. CAG:452"
"GCA_000434055.1"	"MGS488 assembly for Ruminococcus sp. CAG:488"
"GCA_000434075.1"	"MGS212 assembly for Firmicutes bacterium CAG:212"
"GCA_000434095.1"	"MGS47 assembly for Bacteroides fragilis CAG:47"
"GCA_000434115.1"	"MGS309 assembly for Roseburia sp. CAG:309"
"GCA_000434135.1"	"MGS267 assembly for Acetobacter sp. CAG:267"
"GCA_000434155.1"	"MGS437 assembly for Bacteroides pectinophilus CAG:437"
"GCA_000434175.1"	"MGS611 assembly for Mycoplasma sp. CAG:611"
"GCA_000434195.1"	"MGS780 assembly for Clostridium sp. CAG:780"
"GCA_000434215.1"	"MGS144 assembly for Bacteroides sp. CAG:144"
"GCA_000434235.1"	"MGS268 assembly for Alistipes sp. CAG:268"
"GCA_000434255.1"	"MGS379 assembly for Ruminococcus sp. CAG:379"
"GCA_000434275.1"	"MGS197 assembly for Roseburia sp. CAG:197"
"GCA_000434295.1"	"MGS977 assembly for Acetobacter sp. CAG:977"
"GCA_000434375.1"	"MGS25 assembly for Lachnospiraceae bacterium CAG:25"
"GCA_000434395.1"	"MGS568 assembly for Clostridium sp. CAG:568"
"GCA_000434415.1"	"MGS72 assembly for [Eubacterium] eligens CAG:72"
"GCA_000434475.1"	"MGS486 assembly for Dialister sp. CAG:486"
"GCA_000434495.1"	"MGS533 assembly for Clostridium sp. CAG:533"
"GCA_000434535.1"	"MGS166 assembly for Collinsella sp. CAG:166"
"GCA_000434555.1"	"MGS524 assembly for Clostridium sp. CAG:524"
"GCA_000434615.1"	"MGS510 assembly for Clostridium sp. CAG:510"
"GCA_000436395.1"	"MGS154 assembly for Akkermansia muciniphila CAG:154"
"GCA_000436415.1"	"MGS102 assembly for Firmicutes bacterium CAG:102"
"GCA_000436455.1"	"MGS132 assembly for Clostridium clostridioforme CAG:132"
"GCA_000436475.1"	"MGS248 assembly for Eubacterium sp. CAG:248"
"GCA_000436535.1"	"MGS252 assembly for Eubacterium sp. CAG:252"
"GCA_000436555.1"	"MGS158 assembly for Bacteroides cellulosilyticus CAG:158"
"GCA_000436615.1"	"MGS237 assembly for Blautia sp. CAG:237"
"GCA_000436635.1"	"MGS131 assembly for Coprococcus sp. CAG:131"
"GCA_000436675.1"	"MGS115 assembly for Eubacterium sp. CAG:115"
"GCA_000436715.1"	"MGS19 assembly for Coprococcus comes CAG:19"
"GCA_000436735.1"	"MGS170 assembly for Firmicutes bacterium CAG:170"
"GCA_000436775.1"	"MGS202 assembly for Eubacterium sp. CAG:202"
"GCA_000436795.1"	"MGS1076 assembly for Bacteroides sp. CAG:1076"
"GCA_000436815.1"	"MGS263 assembly for Bifidobacterium pseudocatenulatum CAG:263"
"GCA_000436875.1"	"MGS155 assembly for Oscillibacter sp. CAG:155"
"GCA_000436895.1"	"MGS116 assembly for Paraprevotella clara CAG:116"
"GCA_000436935.1"	"MGS227 assembly for Firmicutes bacterium CAG:227"
"GCA_000436955.1"	"MGS100 assembly for Roseburia sp. CAG:100"
"GCA_000436975.1"	"MGS1000 assembly for Clostridium sp. CAG:1000"
"GCA_000437015.1"	"MGS390 assembly for Anaerotruncus sp. CAG:390"
"GCA_000437035.1"	"MGS55 assembly for Ruminococcus sp. CAG:55"
"GCA_000437055.1"	"MGS186 assembly for Methanobrevibacter smithii CAG:186"
"GCA_000437075.1"	"MGS344 assembly for Akkermansia sp. CAG:344"
"GCA_000437115.1"	"MGS470 assembly for Clostridium sp. CAG:470"
"GCA_000437135.1"	"MGS315 assembly for Bacteroides intestinalis CAG:315"
"GCA_000437195.1"	"MGS42 assembly for Dorea longicatena CAG:42"
"GCA_000437215.1"	"MGS440 assembly for Clostridium sp. CAG:440"
"GCA_000433615.1"	"MGS18 assembly for Roseburia sp. CAG:18"
"GCA_000433635.1"	"MGS254 assembly for Ruminococcus sp. CAG:254"
"GCA_000433655.1"	"MGS634 assembly for Klebsiella variicola CAG:634"
"GCA_000433695.1"	"MGS649 assembly for Fusobacterium sp. CAG:649"
"GCA_000433715.1"	"MGS211 assembly for Phocaeicola plebeius CAG:211"
"GCA_000433735.1"	"MGS167 assembly for Clostridium sp. CAG:167"
"GCA_000433755.1"	"MGS465 assembly for Clostridium sp. CAG:465"
"GCA_000433775.1"	"MGS1435 assembly for Corallococcus sp. CAG:1435"
"GCA_000433795.1"	"MGS157 assembly for Alistipes sp. CAG:157"
"GCA_000433995.1"	"MGS313 assembly for Firmicutes bacterium CAG:313"
"GCA_000434015.1"	"MGS571 assembly for Clostridium sp. CAG:571"
"GCA_000434315.1"	"MGS156 assembly for Eubacterium sp. CAG:156"
"GCA_000434335.1"	"MGS492 assembly for Clostridium sp. CAG:492"
"GCA_000434355.1"	"MGS536 assembly for Firmicutes bacterium CAG:536"
"GCA_000431935.1"	"MGS487 assembly for Prevotella sp. CAG:487"
"GCA_000431955.1"	"MGS27 assembly for [Clostridium] leptum CAG:27"
"GCA_000431975.1"	"MGS924 assembly for Prevotella sp. CAG:924"
"GCA_000431995.1"	"MGS81 assembly for Clostridium sp. CAG:81"
"GCA_000432015.1"	"MGS1024 assembly for Clostridium sp. CAG:1024"
"GCA_000432035.1"	"MGS15 assembly for Roseburia inulinivorans CAG:15"
"GCA_000432055.1"	"MGS367 assembly for Ligilactobacillus ruminis CAG:367"
"GCA_000432075.1"	"MGS724 assembly for Candidatus Apopatosoma intestinale"
"GCA_000432095.1"	"MGS333 assembly for Phocaeicola coprophilus CAG:333"
"GCA_000432115.1"	"MGS61 assembly for [Ruminococcus] torques CAG:61"
"GCA_000432135.1"	"MGS124 assembly for Firmicutes bacterium CAG:124"
"GCA_000432155.1"	"MGS274 assembly for Eubacterium sp. CAG:274"
"GCA_000432175.1"	"MGS786 assembly for Eubacterium sp. CAG:786"
"GCA_000432215.1"	"MGS276 assembly for Anaerostipes sp. CAG:276"
"GCA_000432235.1"	"MGS36 assembly for Agathobacter rectalis CAG:36"
"GCA_000432255.1"	"MGS878 assembly for Acholeplasma sp. CAG:878"
"GCA_000432275.1"	"MGS495 assembly for Proteobacteria bacterium CAG:495"
"GCA_000432295.1"	"MGS189 assembly for Bacteroides sp. CAG:189"
"GCA_000432315.1"	"MGS264 assembly for Clostridium sp. CAG:264"
"GCA_000432335.1"	"MGS646 assembly for Firmicutes bacterium CAG:646"
"GCA_000432355.1"	"MGS161 assembly for Eubacterium sp. CAG:161"
"GCA_000432375.1"	"MGS103 assembly for Firmicutes bacterium CAG:103"
"GCA_000432395.1"	"MGS259 assembly for Eshraghiella crossota CAG:259"
"GCA_000432415.1"	"MGS149 assembly for Clostridium sp. CAG:149"
"GCA_000432435.1"	"MGS180 assembly for Eubacterium sp. CAG:180"
"GCA_000432455.1"	"MGS17 assembly for Ruminococcus sp. CAG:17"
"GCA_000432535.1"	"MGS661 assembly for Bacteroides sp. CAG:661"
"GCA_000432555.1"	"MGS75 assembly for Clostridium sp. CAG:75"
"GCA_000432575.1"	"MGS762 assembly for Clostridium sp. CAG:762"
"GCA_000432595.1"	"MGS710 assembly for Clostridium sp. CAG:710"
"GCA_000432675.1"	"MGS50 assembly for Roseburia sp. CAG:50"
"GCA_000432695.1"	"MGS702 assembly for Bacteroides sp. CAG:702"
"GCA_000433475.1"	"MGS956 assembly for Mycoplasma sp. CAG:956"
"GCA_000433495.1"	"MGS108 assembly for Ruminococcus sp. CAG:108"
"GCA_000433515.1"	"MGS272 assembly for Candidatus Colimorpha enterica"
"GCA_000433555.1"	"MGS126 assembly for Mediterraneibacter gnavus CAG:126"
"GCA_000437355.1"	"MGS460 assembly for Firmicutes bacterium CAG:460"
"GCA_000437375.1"	"MGS841 assembly for Eubacterium sp. CAG:841"
"GCA_000437395.1"	"MGS288 assembly for Clostridium sp. CAG:288"
"GCA_000437415.1"	"MGS90 assembly for Ruminococcus sp. CAG:90"
"GCA_000437435.1"	"MGS768 assembly for Clostridium sp. CAG:768"
"GCA_000437455.1"	"MGS354 assembly for Clostridium sp. CAG:354"
"GCA_000437475.1"	"MGS51 assembly for Tannerella sp. CAG:51"
"GCA_000437495.1"	"MGS485 assembly for Prevotella sp. CAG:485"
"GCA_000437515.1"	"MGS727 assembly for Acidiphilium sp. CAG:727"
"GCA_000437535.1"	"MGS629 assembly for Leyella stercorea CAG:629"
"GCA_000437555.1"	"MGS917 assembly for Acidaminococcus sp. CAG:917"
"GCA_000437575.1"	"MGS307 assembly for Clostridium sp. CAG:307"
"GCA_000437595.1"	"MGS74 assembly for Faecalibacterium sp. CAG:74"
"GCA_000437615.1"	"MGS375 assembly for Amedibacillus dolichus CAG:375"
"GCA_000437635.1"	"MGS521 assembly for Sutterella sp. CAG:521"
"GCA_000437655.1"	"MGS729 assembly for Clostridium sp. CAG:729"
"GCA_000437675.1"	"MGS891 assembly for Prevotella sp. CAG:891"
"GCA_000437695.1"	"MGS321 assembly for Firmicutes bacterium CAG:321"
"GCA_000437935.1"	"MGS570 assembly for Megasphaera elsdenii CAG:570"
"GCA_000437955.1"	"MGS76 assembly for Eubacterium sp. CAG:76"
"GCA_000437975.1"	"MGS581 assembly for Eubacterium sp. CAG:581"
"GCA_000437995.1"	"MGS40 assembly for Bacteroides thetaiotaomicron CAG:40"
"GCA_000438015.1"	"MGS312 assembly for Coraliomargarita sp. CAG:312"
"GCA_000438135.1"	"MGS79 assembly for Streptococcus salivarius CAG:79"
"GCA_000437275.1"	"MGS411 assembly for Clostridium sp. CAG:411"
"GCA_000169315.1"	"ASM16931v1 assembly for Bacillus sp. B14905"
"GCA_013240315.1"	"ASM1324031v1 assembly for Pseudomonas aeruginosa"
"GCA_013240435.1"	"ASM1324043v1 assembly for Pseudomonas aeruginosa"
"GCA_013240325.1"	"ASM1324032v1 assembly for Pseudomonas aeruginosa"
"GCA_013240515.1"	"ASM1324051v1 assembly for Pseudomonas aeruginosa"
"GCA_013343315.1"	"ASM1334331v1 assembly for Pseudomonas aeruginosa"
"GCA_013343335.1"	"ASM1334333v1 assembly for Pseudomonas aeruginosa"
"GCA_013343355.1"	"ASM1334335v1 assembly for Pseudomonas aeruginosa"
"GCA_013343375.1"	"ASM1334337v1 assembly for Pseudomonas aeruginosa"
"GCA_013343435.1"	"ASM1334343v1 assembly for Pseudomonas aeruginosa"
"GCA_013343455.1"	"ASM1334345v1 assembly for Pseudomonas aeruginosa"
"GCA_013343515.1"	"ASM1334351v1 assembly for Pseudomonas aeruginosa"
"GCA_013343535.1"	"ASM1334353v1 assembly for Pseudomonas aeruginosa"
"GCA_013343555.1"	"ASM1334355v1 assembly for Pseudomonas aeruginosa"
"GCA_013240375.1"	"ASM1324037v1 assembly for Pseudomonas aeruginosa"
"GCA_013240385.1"	"ASM1324038v1 assembly for Pseudomonas aeruginosa"
"GCA_013240415.1"	"ASM1324041v1 assembly for Pseudomonas aeruginosa"
"GCA_013240425.1"	"ASM1324042v1 assembly for Pseudomonas aeruginosa"
"GCA_013240475.1"	"ASM1324047v1 assembly for Pseudomonas aeruginosa"
"GCA_013343395.1"	"ASM1334339v1 assembly for Pseudomonas aeruginosa"
"GCA_013343415.1"	"ASM1334341v1 assembly for Pseudomonas aeruginosa"
"GCA_013343475.1"	"ASM1334347v1 assembly for Pseudomonas aeruginosa"
"GCA_013343495.1"	"ASM1334349v1 assembly for Pseudomonas aeruginosa"
"GCA_013343575.1"	"ASM1334357v1 assembly for Pseudomonas aeruginosa"
"GCA_002605725.1"	"ASM260572v1 assembly for Bacillus phage phiS58"
"GCA_010391475.1"	"ASM1039147v1 assembly for Escherichia phage SP22"
"GCA_004768945.1"	"ASM476894v1 assembly for Escherichia phage SP15"
"GCA_008033345.1"	"ASM803334v1 assembly for Escherichia phage SP27"
"GCA_903819325.1"	"PVN02 assembly for Aeromonas phage PVN02"
"GCA_002149545.1"	"ViralProj308018.2 assembly for Bacillus phage phi4J1"
"GCA_002149765.1"	"ViralProj308018.1 assembly for Bacillus phage phi4B1"
"GCA_006083355.1"	"ASM608335v1 assembly for Bacillus phage vB_BthS-TP21T"
"GCA_002602345.1"	"ASM260234v1 assembly for Bacillus phage phi4I1"
"GCA_000436295.1"	"MGS207 assembly for Phascolarctobacterium faecium"
"GCA_001660505.2"	"ASM166050v2 assembly for Vibrio anguillarum"
"GCA_001990065.2"	"ASM199006v2 assembly for Vibrio anguillarum"
"GCA_001990105.2"	"ASM199010v2 assembly for Vibrio anguillarum"
"GCA_001990125.2"	"ASM199012v2 assembly for Vibrio anguillarum"
"GCA_001989715.2"	"ASM198971v2 assembly for Vibrio anguillarum"
"GCA_001989855.2"	"ASM198985v2 assembly for Vibrio anguillarum"
"GCA_001989875.2"	"ASM198987v2 assembly for Vibrio anguillarum"
"GCA_001989895.2"	"ASM198989v2 assembly for Vibrio anguillarum"
"GCA_001989655.2"	"ASM198965v2 assembly for Vibrio anguillarum"
"GCA_001989675.2"	"ASM198967v2 assembly for Vibrio anguillarum"
"GCA_001989735.2"	"ASM198973v2 assembly for Vibrio anguillarum"
"GCA_001989755.2"	"ASM198975v2 assembly for Vibrio anguillarum"
"GCA_001989775.2"	"ASM198977v2 assembly for Vibrio anguillarum"
"GCA_001989795.2"	"ASM198979v2 assembly for Vibrio anguillarum"
"GCA_001989815.2"	"ASM198981v2 assembly for Vibrio anguillarum"
"GCA_001989835.2"	"ASM198983v2 assembly for Vibrio anguillarum"
"GCA_001989915.2"	"ASM198991v2 assembly for Vibrio anguillarum"
"GCA_001989935.2"	"ASM198993v2 assembly for Vibrio anguillarum"
"GCA_003595565.2"	"ASM359556v2 assembly for Vibrio anguillarum"
"GCA_032766915.1"	"ASM3276691v1 assembly for Klebsiella pneumoniae"
"GCA_001998845.2"	"ASM199884v2 assembly for Vibrio anguillarum"
"GCA_001989995.2"	"ASM198999v2 assembly for Vibrio anguillarum"
"GCA_001990025.2"	"ASM199002v2 assembly for Vibrio anguillarum"
"GCA_001990045.2"	"ASM199004v2 assembly for Vibrio anguillarum"
"GCA_001990085.2"	"ASM199008v2 assembly for Vibrio anguillarum"
"GCA_034556035.1"	"ASM3455603v1 assembly for Klebsiella pneumoniae"
"GCA_034556055.1"	"ASM3455605v1 assembly for Klebsiella pneumoniae"
"GCA_034556075.1"	"ASM3455607v1 assembly for Klebsiella pneumoniae"
"GCA_034556095.1"	"ASM3455609v1 assembly for Klebsiella pneumoniae"
"GCA_022870665.1"	"ASM2287066v1 assembly for Priestia megaterium"
"GCA_034555995.1"	"ASM3455599v1 assembly for Klebsiella pneumoniae"
"GCA_034556015.1"	"ASM3455601v1 assembly for Klebsiella pneumoniae"
"GCA_034556115.1"	"ASM3455611v1 assembly for Klebsiella pneumoniae"
"GCA_034556135.1"	"ASM3455613v1 assembly for Klebsiella pneumoniae"
